time,N,E,heading
299.99662017822266,101.10680821840577,118.44507481018137,4.9
301.0064699649811,102.03462296506596,118.65468316406029,5.3
301.8162078857422,102.96243486710478,118.75947467817133,5.7
302.7480478286743,103.70468782215563,118.96908793671074,6.1
303.73618507385254,104.63250095689509,119.17869419039873,6.4
304.58645606040955,105.56031286197758,119.28348552894045,6.8
305.5061390399933,106.48812597079134,119.49309161786448,7.1
306.4971091747284,107.23037894154498,119.702704575442,7.478382695149162
307.32679986953735,108.15819372677342,119.91231236134148,7.8
308.27618527412415,109.08600681564488,120.12191817867571,8.1
309.2560861110687,109.82825808530544,120.331529018787,8.476285680233598
310.08641600608826,110.75607287637126,120.54113653929979,8.7
311.0173981189728,111.6838876786318,120.7507439703599,9.0
312.8473742008209,113.35395373881816,121.1699618241962,9.5
313.7760589122772,114.28176856188615,121.37956899343166,9.7
315.60635709762573,116.13739823905,121.79878306459106,10.2
316.53613805770874,117.06521016252142,121.90357356302826,10.4
318.34622287750244,118.73528182011233,122.3227961737421,10.7
319.28643584251404,119.66309566662774,122.42758841653526,10.9
321.1062788963318,121.33316373875547,122.84680677009058,11.2
322.0371022224426,122.26097574072706,122.95159692565582,11.3
323.8462860584259,124.30216257739755,123.26598617005305,11.6
324.79621720314026,125.22997754294425,123.47559237391161,11.7
326.6066119670868,127.27116634319313,123.78998308269801,11.9
327.53626704216003,128.38453815507134,123.89476568486944,12.0
329.3460931777954,130.42572994892146,124.31397204889473,12.0
330.336403131485,131.5391037747637,124.41875637788267,12.0
332.08646988868713,133.7658553363056,124.83795493066215,12.0
333.0863461494446,134.8792321682903,125.04755501943103,12.1
333.9109561443329,135.99260600290307,125.1523390525102,12.0
334.82614398002625,137.10598070098928,125.36193699305446,12.0
335.83640813827515,138.40491934731284,125.57153144278227,12.0
336.6561951637268,139.51829620481038,125.78113111872793,12.0
337.5863790512085,140.6316730706229,125.99073068682372,11.9
338.58633613586426,141.7450477278846,126.20032817407245,11.8
339.4166510105133,143.043986402524,126.40992214776331,11.8
340.3563210964203,144.1573632905135,126.61952138320058,11.7
342.18615984916687,146.56967355003263,126.93389645143799,11.5
343.11623883247375,147.8686099311359,127.14348798286743,11.4
345.1275038719177,150.28092081832875,127.56267607776174,11.2
345.86645889282227,151.57985949149526,127.77226922235897,11.2
